,Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age,Income_Category,Employment_Status
405,5062670,F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,-14863.0,1,0,0,0,Managers,3,0,40.0,Medium,1
406,5029352,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-10942.0,1,0,0,0,Drivers,2,0,29.0,Medium,1
407,5105067,M,N,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,-13682.0,1,1,1,0,Others,2,0,37.0,Medium,1
408,5143573,M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,-9124.0,1,1,0,0,Drivers,2,0,24.0,Medium,1
409,5045203,F,Y,Y,0,139500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21009.0,1,0,0,0,Others,2,0,57.0,Medium,0
410,5065673,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11512.0,1,0,0,0,Others,1,0,31.0,Medium,1
411,5029544,F,Y,Y,1,133650.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14596.0,1,0,0,0,Others,3,0,39.0,Medium,1
412,5045800,M,Y,Y,1,427500.0,Working,Secondary / secondary special,Married,House / apartment,-11892.0,1,0,1,0,Drivers,3,0,32.0,Medium,1
413,5111159,F,Y,Y,1,81000.0,Working,Higher education,Married,House / apartment,-10648.0,1,1,1,0,Core staff,3,0,29.0,Low,1
414,5099957,F,Y,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,-11239.0,1,0,0,0,Accountants,3,0,30.0,Medium,1
415,5143360,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-22811.0,1,1,1,0,High skill tech staff,2,0,62.0,Medium,1
416,5091753,M,Y,N,2,135000.0,Working,Higher education,Married,House / apartment,-12725.0,1,0,0,0,Core staff,4,0,34.0,Medium,1
417,5117403,F,N,N,0,94500.0,Working,Secondary / secondary special,Married,House / apartment,-16758.0,1,0,0,0,Waiters/barmen staff,2,0,45.0,Low,1
418,5149319,F,Y,Y,1,180000.0,Working,Higher education,Separated,House / apartment,-18838.0,1,0,0,0,Managers,2,0,51.0,Medium,1
419,5137542,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18881.0,1,1,0,0,Cooking staff,2,0,51.0,Medium,1
420,5095170,M,Y,Y,0,252000.0,Commercial associate,Higher education,Married,House / apartment,-13796.0,1,0,0,0,Drivers,2,0,37.0,Medium,1
421,5090780,F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-12047.0,1,0,0,0,Managers,3,0,33.0,Medium,1
422,5092242,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,-20754.0,1,0,0,0,Others,2,0,56.0,Medium,1
423,5068671,M,N,Y,0,247500.0,Working,Incomplete higher,Married,House / apartment,-9159.0,1,0,0,0,Core staff,2,0,25.0,Medium,1
424,5143427,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23431.0,1,0,0,0,Others,1,0,64.0,Medium,0
425,5087994,M,Y,Y,1,180000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-15547.0,1,0,0,0,Others,3,0,42.0,Medium,1
426,5052739,F,N,Y,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10454.0,1,0,0,1,High skill tech staff,4,0,28.0,Medium,1
427,5068747,F,N,N,0,157500.0,Working,Higher education,Civil marriage,With parents,-13231.0,1,0,0,0,Accountants,2,0,36.0,Medium,1
428,5025029,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20013.0,1,0,0,0,Others,2,0,54.0,Medium,0
430,5022571,M,Y,Y,0,202500.0,Pensioner,Higher education,Married,House / apartment,-21721.0,1,0,0,0,Others,2,0,59.0,Medium,0
431,5024578,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,-10253.0,1,0,0,0,Laborers,3,0,28.0,Low,1
432,5058405,M,Y,Y,0,247500.0,Working,Higher education,Married,House / apartment,-12843.0,1,0,0,0,Managers,2,0,35.0,Medium,1
433,5041869,M,Y,N,0,99000.0,State servant,Secondary / secondary special,Married,House / apartment,-19433.0,1,1,1,0,Core staff,2,0,53.0,Low,1
434,5115894,M,Y,N,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17455.0,1,0,0,0,Drivers,2,0,47.0,Medium,1
435,5062749,M,Y,N,1,202500.0,State servant,Higher education,Married,House / apartment,-13387.0,1,0,0,0,Others,3,0,36.0,Medium,1
436,5045611,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-11762.0,1,0,0,0,Others,4,0,32.0,Low,1
437,5113288,F,Y,Y,2,121500.0,Working,Incomplete higher,Married,House / apartment,-11327.0,1,1,1,0,Core staff,4,0,31.0,Medium,1
438,5053003,F,Y,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,-9389.0,1,1,1,0,Others,2,0,25.0,Medium,1
439,5118038,F,N,N,2,121500.0,Working,Higher education,Married,House / apartment,-11697.0,1,0,0,0,HR staff,4,0,32.0,Medium,1
440,5091405,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17579.0,1,1,0,0,Laborers,1,0,48.0,Medium,1
441,5137022,F,N,N,0,180000.0,State servant,Secondary / secondary special,Widow,House / apartment,-18181.0,1,1,1,0,Laborers,1,0,49.0,Medium,1
442,5117594,F,N,N,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16898.0,1,1,1,0,Core staff,1,0,46.0,Medium,1
443,5085704,M,Y,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19474.0,1,0,0,0,Others,2,0,53.0,Medium,0
444,5137292,M,Y,N,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-15243.0,1,1,1,0,High skill tech staff,3,0,41.0,Medium,1
445,5038751,M,Y,Y,2,157500.0,Commercial associate,Higher education,Married,With parents,-14192.0,1,0,0,0,Drivers,4,0,38.0,Medium,1
446,5099900,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20341.0,1,0,0,0,Laborers,2,0,55.0,Medium,1
447,5116676,M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,-13427.0,1,1,0,0,Laborers,5,0,36.0,Medium,1
448,5061321,F,Y,Y,1,261000.0,State servant,Higher education,Married,House / apartment,-15050.0,1,0,0,0,Managers,3,0,41.0,Medium,1
449,5139410,F,Y,Y,2,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-14439.0,1,1,0,0,Core staff,4,0,39.0,Medium,1
450,5048486,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-12992.0,1,1,1,0,Drivers,2,0,35.0,Medium,1
451,5139658,F,N,Y,0,157500.0,Pensioner,Lower secondary,Married,House / apartment,-23483.0,1,0,0,0,Others,2,0,64.0,Medium,0
452,5091280,M,N,Y,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,-11822.0,1,1,0,0,Laborers,3,0,32.0,Medium,1
453,5023186,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17235.0,1,0,1,0,Core staff,2,0,47.0,Medium,1
454,5054307,M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10116.0,1,0,0,0,Laborers,3,0,27.0,Medium,1
455,5116879,F,N,N,0,112500.0,Working,Higher education,Single / not married,With parents,-11061.0,1,1,1,0,High skill tech staff,1,0,30.0,Medium,1
456,5050453,M,N,Y,1,231750.0,Working,Secondary / secondary special,Married,House / apartment,-14247.0,1,0,0,0,Others,3,0,39.0,Medium,1
457,5022804,F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,-11998.0,1,0,0,0,Managers,1,0,32.0,Medium,1
458,5091374,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-15366.0,1,1,1,0,Drivers,2,0,42.0,Medium,1
459,5135484,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-10660.0,1,0,0,0,Core staff,1,0,29.0,Medium,1
460,5054188,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11390.0,1,0,1,0,Sales staff,2,0,31.0,Medium,1
461,5054626,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22034.0,1,0,0,0,Others,1,0,60.0,Medium,0
462,5068548,M,Y,Y,0,117000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19351.0,1,0,0,0,Laborers,2,0,53.0,Medium,1
463,5053472,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18516.0,1,1,1,0,Low-skill Laborers,2,0,50.0,Medium,1
464,5105395,F,N,Y,0,135000.0,Working,Incomplete higher,Single / not married,House / apartment,-10932.0,1,0,0,0,Secretaries,1,0,29.0,Medium,1
465,5029554,F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23751.0,1,0,0,0,Others,1,0,65.0,Medium,0
466,5089722,F,N,N,0,315000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-17617.0,1,1,1,1,Private service staff,1,0,48.0,Medium,1
467,5066562,F,N,N,0,180000.0,Commercial associate,Incomplete higher,Married,With parents,-8247.0,1,1,0,1,Sales staff,2,0,22.0,Medium,1
468,5062547,F,N,Y,3,247500.0,Commercial associate,Incomplete higher,Married,House / apartment,-12099.0,1,0,0,1,Others,5,0,33.0,Medium,1
469,5010203,M,Y,Y,0,135000.0,Working,Lower secondary,Married,With parents,-9981.0,1,0,0,1,Laborers,2,0,27.0,Medium,1
470,5024665,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-14425.0,1,1,1,0,Laborers,2,0,39.0,Medium,1
471,5089626,F,N,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-16188.0,1,1,1,1,Sales staff,2,0,44.0,Medium,1
472,5021373,F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,-22100.0,1,0,0,1,Managers,2,0,60.0,Medium,1
475,5143515,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23280.0,1,0,0,0,Others,1,0,63.0,Medium,0
476,5018461,F,N,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,-20208.0,1,0,1,0,Others,3,0,55.0,Medium,1
477,5096300,F,N,N,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9320.0,1,0,0,0,High skill tech staff,3,0,25.0,Medium,1
478,5148897,M,N,Y,0,90900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22233.0,1,0,1,0,Others,2,0,60.0,Low,0
479,5025047,F,Y,N,3,112500.0,Working,Secondary / secondary special,Married,House / apartment,-11731.0,1,1,1,0,Others,5,0,32.0,Medium,1
480,5092164,F,Y,Y,0,45900.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20282.0,1,0,1,0,Others,1,0,55.0,Low,0
481,5053143,M,N,Y,1,126000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12301.0,1,0,1,0,Others,3,0,33.0,Medium,1
482,5038510,F,N,Y,0,103500.0,Working,Incomplete higher,Married,House / apartment,-11855.0,1,0,0,0,Laborers,2,0,32.0,Medium,1
483,5023482,F,N,Y,1,119250.0,Working,Secondary / secondary special,Married,House / apartment,-15931.0,1,1,1,0,Core staff,3,0,43.0,Medium,1
484,5054099,M,Y,N,2,202500.0,Working,Higher education,Married,House / apartment,-11736.0,1,0,0,0,Drivers,4,0,32.0,Medium,1
485,5062713,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-14510.0,1,0,0,0,Core staff,3,0,39.0,Medium,1
486,5088851,F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,-11353.0,1,0,0,1,Accountants,2,0,31.0,Medium,1
487,5111117,F,N,Y,1,315000.0,Working,Higher education,Married,House / apartment,-11602.0,1,0,0,0,Managers,3,0,31.0,Medium,1
488,5118115,M,N,N,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13538.0,1,1,1,0,Drivers,3,0,37.0,Medium,1
489,5024258,M,N,Y,0,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11495.0,1,0,0,0,Security staff,1,0,31.0,Medium,1
490,5113976,M,Y,N,0,270000.0,Working,Incomplete higher,Married,House / apartment,-11955.0,1,1,1,1,Laborers,2,0,32.0,Medium,1
491,5099907,F,N,Y,2,112500.0,Working,Incomplete higher,Married,House / apartment,-10927.0,1,0,0,0,Core staff,4,0,29.0,Medium,1
492,5092332,F,N,Y,0,58500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-24946.0,1,0,1,0,Others,1,0,68.0,Low,0
493,5038932,F,N,Y,0,94500.0,Commercial associate,Higher education,Separated,House / apartment,-14548.0,1,0,1,0,Medicine staff,1,0,39.0,Low,1
494,5078924,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16116.0,1,0,1,0,Laborers,2,0,44.0,Medium,1
495,5068390,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,-14052.0,1,0,1,1,Sales staff,2,0,38.0,Medium,1
496,5046036,F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21527.0,1,0,0,0,Others,2,0,58.0,Low,0
497,5033788,F,N,Y,1,315000.0,Working,Higher education,Separated,House / apartment,-15738.0,1,1,1,0,Private service staff,2,0,43.0,Medium,1
498,5010781,F,Y,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,-14474.0,1,0,0,1,Core staff,3,0,39.0,Medium,1
499,5022761,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-9791.0,1,0,0,1,Sales staff,2,0,26.0,Medium,1
500,5041980,F,N,N,0,211500.0,Commercial associate,Higher education,Married,With parents,-14636.0,1,1,1,0,Laborers,2,0,40.0,Medium,1
501,5113854,M,N,N,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15323.0,1,1,0,0,Laborers,1,0,41.0,Medium,1
502,5126612,F,Y,N,0,180000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20395.0,1,0,1,0,Others,1,0,55.0,Medium,0
504,5142136,F,N,N,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-17001.0,1,0,0,0,Medicine staff,4,0,46.0,Medium,1
505,5088163,F,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12922.0,1,0,0,0,Core staff,1,0,35.0,Medium,1
506,5146086,M,N,N,0,148500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-14122.0,1,0,0,1,Laborers,1,0,38.0,Medium,1
507,5139553,F,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-13584.0,1,0,1,0,Medicine staff,4,0,37.0,Medium,1
508,5041474,F,N,Y,0,90000.0,Commercial associate,Higher education,Married,House / apartment,-9006.0,1,0,0,1,Sales staff,2,0,24.0,Low,1
509,5025020,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21512.0,1,0,0,0,Others,2,0,58.0,Medium,0
510,5118270,F,N,N,0,99000.0,Working,Secondary / secondary special,Married,With parents,-19566.0,1,1,0,0,Medicine staff,2,0,53.0,Low,1
511,5095324,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22854.0,1,0,1,0,Others,1,0,62.0,Medium,0
512,5142290,F,N,Y,1,162000.0,State servant,Higher education,Civil marriage,House / apartment,-15027.0,1,0,0,0,Accountants,3,0,41.0,Medium,1
513,5148792,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-17450.0,1,0,0,0,Managers,1,0,47.0,Medium,1
514,5062031,F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-9688.0,1,0,1,1,Others,1,0,26.0,Medium,1
515,5088836,F,N,Y,0,612000.0,State servant,Secondary / secondary special,Married,House / apartment,-12563.0,1,0,0,1,Accountants,2,0,34.0,High,1
516,5035418,F,N,Y,0,292500.0,Working,Higher education,Married,House / apartment,-21111.0,1,0,0,0,Core staff,2,0,57.0,Medium,1
517,5089896,F,N,Y,0,67500.0,Pensioner,Higher education,Single / not married,Municipal apartment,-23694.0,1,0,0,1,Others,1,0,64.0,Low,0
518,5137407,F,N,N,0,157500.0,Working,Higher education,Separated,House / apartment,-17237.0,1,0,0,0,Medicine staff,1,0,47.0,Medium,1
519,5086060,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-20542.0,1,0,1,0,Core staff,2,0,56.0,Medium,1
520,5095117,F,N,Y,0,67500.0,Working,Higher education,Married,House / apartment,-14240.0,1,0,0,0,Core staff,2,0,39.0,Low,1
521,5067419,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23334.0,1,0,0,0,Others,2,0,63.0,Medium,0
522,5041307,F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23118.0,1,0,1,0,Others,2,0,63.0,Low,0
523,5146401,F,N,Y,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,-19682.0,1,1,0,0,Cleaning staff,1,0,53.0,Medium,1
524,5105137,F,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9957.0,1,0,0,0,Laborers,1,0,27.0,Medium,1
525,5053388,F,N,Y,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-16300.0,1,0,0,1,Managers,2,0,44.0,Medium,1
526,5146467,M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,-9983.0,1,0,0,0,Others,2,0,27.0,Medium,1
527,5113082,F,N,Y,1,112500.0,Working,Higher education,Single / not married,House / apartment,-15303.0,1,0,0,0,Core staff,2,0,41.0,Medium,1
528,5052755,M,N,Y,0,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10570.0,1,0,0,0,Managers,2,0,28.0,Medium,1
529,5092436,F,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19921.0,1,0,1,0,Others,2,0,54.0,Medium,0
530,5022243,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15231.0,1,0,0,1,High skill tech staff,2,0,41.0,Medium,1
531,5113020,M,Y,Y,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,-14622.0,1,0,0,0,Core staff,2,0,40.0,Medium,1
532,5058267,M,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Married,With parents,-17868.0,1,0,0,0,Drivers,3,0,48.0,Medium,1
533,5037247,M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12170.0,1,0,0,0,Laborers,4,0,33.0,Medium,1
534,5100461,M,Y,Y,1,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12417.0,1,0,0,0,High skill tech staff,3,0,34.0,Medium,1
535,5096753,M,Y,N,0,328500.0,Working,Higher education,Married,House / apartment,-14897.0,1,1,1,0,Others,2,0,40.0,Medium,1
536,5091778,M,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10874.0,1,1,0,0,Laborers,4,0,29.0,Medium,1
537,5038569,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19974.0,1,0,1,0,Laborers,2,0,54.0,Medium,1
538,5069169,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10314.0,1,0,0,1,Sales staff,2,0,28.0,Medium,1
540,5091048,F,N,Y,2,270000.0,Commercial associate,Higher education,Married,House / apartment,-15438.0,1,0,0,1,Secretaries,4,0,42.0,Medium,1
541,5097134,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-11382.0,1,1,1,0,Drivers,2,0,31.0,Medium,1
542,5097106,F,N,Y,0,193500.0,Working,Secondary / secondary special,Married,House / apartment,-21026.0,1,0,1,0,Others,2,0,57.0,Medium,1
543,5099877,F,Y,Y,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21671.0,1,0,1,0,Others,2,0,59.0,Medium,0
544,5033884,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20063.0,1,1,1,0,Core staff,2,0,54.0,Low,1
545,5097024,M,Y,N,0,198000.0,Commercial associate,Higher education,Married,House / apartment,-13643.0,1,0,0,0,Managers,2,0,37.0,Medium,1
546,5010412,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21854.0,1,0,0,0,Others,2,0,59.0,Medium,0
547,5091144,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10785.0,1,0,0,0,Others,2,0,29.0,Medium,1
548,5088503,M,Y,Y,0,72000.0,Working,Higher education,Married,House / apartment,-21897.0,1,0,0,0,Security staff,2,0,59.0,Low,1
549,5126142,M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15904.0,1,0,0,0,Laborers,4,0,43.0,Medium,1
550,5067020,F,Y,Y,1,247500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-17152.0,1,0,0,1,Laborers,3,0,46.0,Medium,1
551,5061076,M,Y,N,0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-14926.0,1,1,0,0,Others,2,0,40.0,Medium,1
552,5126527,F,N,N,0,225000.0,State servant,Secondary / secondary special,Married,With parents,-12269.0,1,0,1,0,Medicine staff,2,0,33.0,Medium,1
553,5078931,M,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-15853.0,1,0,1,0,Laborers,1,0,43.0,Medium,1
554,5125471,M,Y,Y,1,450000.0,Commercial associate,Higher education,Married,House / apartment,-17437.0,1,0,0,0,Others,3,0,47.0,Medium,1
555,5025207,M,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9901.0,1,0,0,0,Drivers,3,0,27.0,Medium,1
556,5042097,F,N,N,1,108000.0,Working,Secondary / secondary special,Separated,House / apartment,-14349.0,1,0,1,0,Others,2,0,39.0,Medium,1
557,5067653,F,N,Y,0,787500.0,State servant,Higher education,Married,House / apartment,-17203.0,1,0,0,1,Managers,2,0,47.0,High,1
558,5089137,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-14228.0,1,0,1,0,Others,2,0,38.0,Medium,1
559,5065601,M,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20867.0,1,0,1,0,Laborers,2,0,57.0,Medium,1
560,5112833,F,N,Y,1,90000.0,Working,Secondary / secondary special,Separated,With parents,-13200.0,1,0,1,1,Sales staff,2,0,36.0,Low,1
562,5050549,M,N,N,2,225000.0,Working,Higher education,Civil marriage,House / apartment,-16768.0,1,1,0,0,Laborers,4,0,45.0,Medium,1
563,5065763,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14746.0,1,0,0,0,Others,1,0,40.0,Low,1
564,5089269,F,N,N,0,72000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18799.0,1,1,0,0,Cleaning staff,1,0,51.0,Low,1
565,5061207,M,Y,Y,14,225000.0,Working,Secondary / secondary special,Separated,House / apartment,-17754.0,1,0,0,0,Drivers,15,0,48.0,Medium,1
566,5028684,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9582.0,1,0,0,1,Laborers,2,0,26.0,Medium,1
567,5028737,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12483.0,1,0,0,0,Managers,2,0,34.0,Medium,1
568,5113406,M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10837.0,1,0,0,1,Sales staff,1,0,29.0,Medium,1
569,5025741,F,Y,N,0,216000.0,Working,Higher education,Married,Municipal apartment,-11974.0,1,0,1,0,Sales staff,2,0,32.0,Medium,1
570,5045992,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15256.0,1,0,0,0,Laborers,2,0,41.0,Medium,1
571,5054453,M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,-17914.0,1,0,0,0,Laborers,2,0,49.0,Medium,1
572,5024586,F,Y,Y,2,315000.0,State servant,Secondary / secondary special,Married,House / apartment,-12348.0,1,0,0,0,Managers,4,0,33.0,Medium,1
573,5090701,F,N,N,0,594000.0,Pensioner,Higher education,Single / not married,Municipal apartment,-17387.0,1,0,0,0,Others,1,0,47.0,High,0
574,5091929,F,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-18197.0,1,0,0,0,Others,2,0,49.0,Medium,1
575,5149034,F,N,Y,0,180000.0,State servant,Higher education,Married,House / apartment,-17483.0,1,0,0,0,Core staff,2,0,47.0,Medium,1
576,5114114,M,Y,N,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,-17054.0,1,0,1,0,Security staff,1,0,46.0,Medium,1
577,5142579,F,Y,Y,1,234000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20668.0,1,0,0,0,Others,2,0,56.0,Medium,1
578,5046035,F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21527.0,1,0,0,0,Others,2,0,58.0,Low,0
579,5050756,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18058.0,1,1,0,0,Drivers,2,0,49.0,Medium,1
580,5047853,M,Y,Y,1,292500.0,Commercial associate,Higher education,Married,House / apartment,-12569.0,1,0,0,0,Others,3,0,34.0,Medium,1
581,5009790,F,N,N,0,198000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22002.0,1,0,1,0,Others,1,0,60.0,Medium,0
582,5135819,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19482.0,1,0,0,0,Laborers,2,0,53.0,Low,1
583,5092287,F,N,Y,0,247500.0,Pensioner,Higher education,Married,House / apartment,-22107.0,1,0,0,0,Others,2,0,60.0,Medium,0
585,5028280,F,N,N,1,157500.0,Commercial associate,Incomplete higher,Married,With parents,-11941.0,1,0,0,0,Others,3,0,32.0,Medium,1
586,5095896,F,N,N,1,112500.0,Commercial associate,Higher education,Married,House / apartment,-16018.0,1,1,1,0,Managers,3,0,43.0,Medium,1
587,5024352,M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,-16653.0,1,0,0,0,Drivers,2,0,45.0,High,1
588,5100027,F,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19317.0,1,0,0,0,Medicine staff,2,0,52.0,Medium,1
589,5028337,F,Y,N,1,225000.0,Working,Higher education,Single / not married,With parents,-13861.0,1,0,0,0,Laborers,2,0,37.0,Medium,1
590,5090788,F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-10909.0,1,0,0,0,Managers,2,0,29.0,Medium,1
591,5046126,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20301.0,1,1,1,0,Managers,2,0,55.0,Medium,1
592,5092265,M,N,Y,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-17837.0,1,0,0,0,Security staff,2,0,48.0,Medium,1
593,5143319,F,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20838.0,1,0,0,0,Others,2,0,57.0,Medium,0
594,5114354,M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-9810.0,1,1,0,0,Others,2,0,26.0,Medium,1
595,5117248,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12974.0,1,0,0,0,Laborers,4,0,35.0,Medium,1
